term_str,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
allegiance,0.05,0.05,1.04950983386767,0.05,0.05,1.1546634056505534,0.05,0.05000000021066702,0.05,0.05,0.0558246877107465,0.05,1.4428190740990876,0.05,0.05000000002707002,0.05,0.05,0.05,0.05,4.547182998419319
alley,0.05,0.05000000027448078,0.05,0.05,0.05,0.05000000124044578,0.05,0.24495780526949162,0.05,0.05,0.05000000004238856,0.05,4.592653403827477,2.0500000000831453,0.1005155264104687,0.05,0.05,0.050000000044473636,0.05,5.261873262774022
alleyway,0.05,0.05,0.05,0.05,0.05,0.050000000032755024,0.05,0.05401188582501171,0.05,0.05,0.050000000142551085,0.05,0.05000001119408576,6.05000000012372,0.050000000112865206,0.05,0.05,0.05,0.05,17.04598810255381
aloud,1.2769418690796792,1.9206408817611202,2.041308903785039,0.05,0.050000000091307936,0.05000469534981922,0.05,5.8399763627256975,0.05000000006537297,1.1981606618616836,3.7961207965030037,0.05,0.9883208011287834,0.9577569954787706,8.007076607503821,0.05000000053487538,1.71704784310747,0.05000000040260869,0.05000000002386612,3.806643580556817
alternative,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1.3994322904579075,0.05,0.05,0.050000001336909024,0.05,0.050000000378414164,1.0500000000313363,4.32990903170078,0.05,0.05000000195436014,0.05001662013972685,1.0318388087933017,1.4388032451743664
amazement,0.05000000034230685,2.71901577091185,0.05,0.05,1.2394273887560374,2.0280905411807466,0.05,4.974638220953377,0.05000000129015775,0.05000654363707908,2.556088253631072,0.05,0.050000000434704484,0.050000001057284915,8.024895874985258,0.050000001464133983,2.0259422828408535,1.0636572042340373,0.05,4.818237914244374
ambition,1.0749299542129511,0.05000000017237323,0.05000000334512962,0.05,0.05,0.05000000072200004,0.05,11.16864055496621,0.05,0.0500000007932146,1.3727981231159339,0.05,0.6702203448672299,0.05,4.860255925319608,0.05,0.05000000014780487,0.05000000012893622,0.05,2.153155092175731
amounts,0.050000000243139,0.05472626589091748,0.05,0.05,0.05,0.05,0.05,2.37663581658915,0.05,0.05,0.05,0.05,1.1657802565576716,1.0500000000239413,5.602857660088714,0.05000000011012366,0.05000000025644577,0.05,1.050000000077196,0.0500000001342759
amusement,1.107975480341082,0.05,0.05,0.05,0.050000046573264886,0.05,0.05,4.82975297547372,0.050000000000568694,0.05,1.1016525239123667,0.05,0.05000000319240362,0.05,1.2353600195246783,0.05,0.050000012076047935,0.05,0.05,3.97525893885894
ancient,0.05,3.1239297465649556,0.05000000076623342,0.05,0.05,0.05,0.05,4.173632316719281,0.05000000079248281,0.050000002899219596,0.05,0.05,0.05000000152845174,0.05,1.5748887031300927,0.05,0.5905909521237477,0.05,0.05,2.78695827543898
anger,3.5604733739727346,2.071770546043883,3.357634609879956,0.05,0.633298625963684,1.7817225082488781,0.05,22.492769193817068,0.05000034532647056,5.216282181423025,7.509757899838074,0.05,6.83530085588199,0.8503218306852048,18.273603619040784,0.05000000044069283,3.6420553543683387,1.3472122809163707,0.05000000001116058,19.127796774104525
anger face,1.050000000025125,0.050000000199648856,1.0500000000567555,0.05,0.05,0.05,0.05,0.050000000357241815,0.05,0.05,0.05,0.05,1.5348534830917309,0.05,2.5651465151475326,0.05,0.050000000512622884,0.05,0.05,0.05000000058847363
angle,0.050000000128662014,0.3206992076983383,0.05,0.05,0.05,0.05000000050352771,0.05,3.7774139766535013,0.05,0.05000000307393516,0.9807036001768282,0.05,1.2678316659025577,0.171720219565204,6.700952462092361,0.050000000491423474,0.05,0.05000000009674783,0.05,4.130678863577606
animal,0.05000000148833465,1.0671354884896402,0.05,1.0500000003065673,0.050000000162912735,0.05,0.05,0.050860867316033995,2.0500000001899212,1.3646863169209504,0.050030630620732264,0.05,1.983145603323755,0.05,7.561988602162226,1.8622236892928796,1.2670856124236218,0.05000000029533786,0.05,2.242843186974135
animals,1.0500000000670242,3.179270462110083,0.05000000020091075,0.05,0.05,0.050000000186617904,0.05,4.603829159900095,0.05000000033292194,1.1032416838453705,2.427628814018652,0.05,2.916141979668764,0.05,6.273876326291394,0.05000000117002462,0.05,0.05000000013064393,0.05,1.8460115720405532
ankle,0.05000000003914147,0.05000000000192969,0.05,0.05,0.05,4.050000000173929,0.05,3.4700757689799313,2.348302087902043,0.05000000007011685,1.9392564296250556,0.05,0.05000000003894371,0.05,4.370618645956074,0.05000000010177427,0.05,0.05,0.05,4.121747067082899
ankles,0.05000000002333791,3.6592985475959026,0.05,0.05,0.05,0.050000000383442794,0.05,6.1091377414649175,1.0500000000569052,1.420956668814474,1.8243344664922854,0.05,1.0703679648730928,3.576506304631372,4.817769458128019,0.05000001401183909,0.05,0.05,0.05,4.92162883348667
announcement,0.05,0.05000000029398513,0.05,0.05,0.05,0.05,0.05,3.7828533387355487,0.05000000035875057,0.05000000014659381,0.05,0.05,0.05000000095499814,0.05000000023906794,2.317146597099082,0.05,1.0500000000182539,0.050000001704910244,0.05,0.05000006042203202
annoyance,0.6485390162904089,0.6781287167781967,0.05,0.05,0.05,0.05,0.05,5.107344713589568,0.05,0.05000000061272231,0.8068877024573468,0.05,0.05,0.05000000046867851,4.1956723950946815,0.05,0.050000000075096564,0.050000000377760444,0.05,0.8634274542182626
answer,3.0857022539975385,6.562462673742738,1.1838974458855278,0.05,3.004335853926997,3.6645938551628174,0.05,27.325412916101623,0.05000000011246129,8.715925483000813,9.65020642999751,0.05,3.4404244746025108,0.16688786512875714,26.572332066198616,0.05000000034420812,0.050000011980893745,2.222092432476557,0.050000000003211774,19.05572623730174
answers,0.05000000023263503,0.05000000010339985,1.3609691782536977,0.05,0.05,0.05000000124747423,0.05,5.033457179834617,0.05000000010360634,1.0499999999954912,5.487250967636029,0.05,0.178779962730874,0.05,3.6639286895785506,0.05000000009572116,0.05,0.050000000626749724,0.050000000009203745,3.575614019516846
anticipation,0.05,0.05,0.0500000005313615,0.05,0.05,0.05,0.05,3.7610088412121145,0.05,0.05000000023435183,0.05,0.05,0.5805818889908473,1.583191153456376,4.275218115038375,0.05,0.05000000005649961,0.05,0.05,0.05000000045390652
antidote,0.05000000014646756,0.05,0.0500089543477235,0.05,0.05,0.14067769254813495,0.05,2.4885513612519565,0.05,0.05000000014450944,0.050000000113937154,0.05,0.05000151552095214,0.05,15.830344866076677,0.05,0.05,1.4274817013138184,0.05,0.36293390850535817
antidotes,0.05,0.05000000030440959,0.05,0.05,0.05,0.24704177804009386,0.05,0.9425762612644643,0.05,0.05000000007726929,0.05000000017235337,0.05,0.05,0.05000000003058232,12.96038195998118,0.05,0.05000000008303242,0.05,0.05,0.05000000002879794
anxiety,0.05,1.3118676970203649,0.05,0.05,0.05,2.031638004429723,0.05,6.013549209828652,0.05000000090446402,0.050000002736321124,0.05,0.05,0.05000000143577591,0.05,1.184600701423622,0.05000000047046844,1.1908484316464738,0.05000000003015019,0.05,2.567495950031206
anybody,3.598253247873716,0.050000000239996185,1.290142314592492,0.05,0.05,2.1988083941797085,0.05,13.643301516890535,0.050000000215614154,0.05068056312665798,5.224626096615781,0.05,10.452407313869001,1.2765611765972498,36.80603149879422,0.05000000009786507,4.581067517234109,0.05000000013057634,0.05,4.42812035950952
anymore,0.05,0.0500000004777318,0.05,0.05,0.05000000139199765,0.05000000030755284,0.05,2.3130952757830037,0.05000000025700715,0.05000000114462626,0.3122989401472552,0.05,2.997371452853443,0.05,2.0602581340552106,0.05,0.05,0.0500729728967493,0.050000000030175254,4.566903220617565
apart,0.05000000167642452,0.050000000245329655,0.05,0.05,0.05,0.0500000003952178,0.05,0.05,0.05,0.050079382422332334,1.0174543242799876,0.05,2.2716989038626427,0.05,0.09379133593787087,0.05,1.4566821352555521,0.05,0.05,3.4102939158858248
apologies,0.05,0.05,0.05,0.05,0.05,0.050000001044559525,0.05,0.05000000107057178,0.050000001015970734,0.05,1.0729504309841946,0.05,4.023894573333952,1.0500000000259966,1.0531549910622098,0.05,0.05,0.05,0.05000000009256649,0.050000001338363735
apology,0.05,0.05000000003217563,0.05,0.05,0.05,0.05,0.05,0.05000000157853369,0.05000000078720485,0.05000000118370081,0.050000000217475395,0.05,0.05,0.05,4.465548716833052,0.05,1.2340875326935945,0.05,0.05,1.450363746645698
apparition,0.050000000262036555,0.05000969775679642,0.05,0.05,0.05,0.05,0.05,5.086599560715387,0.05,0.05,0.05000000053432424,0.05,0.050000000330474324,0.05,2.850996737630629,0.05000000024537761,1.0500000000268739,0.05,0.05,1.212394002467001
appeal,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.681525004844218,0.05,2.9998527661209216,0.05000000015862167,0.05,0.05,0.05,4.4686222287112995,0.05,0.05000000014364921,0.05,0.05,0.05
appearance,1.0315285393500229,3.7931213696555477,0.05,0.05,0.40792655398641664,2.9010233060732555,0.05,14.219068599587311,0.05000000007370014,0.050000000546789,5.109353806980373,0.05,7.551420541339647,3.1063229114573385,7.479216316221863,2.105829150004039,0.0962944683892562,0.05000000000920396,0.05000000000484019,17.798894436284048
applause,0.05000000002246405,6.425412744956182,0.05,0.05,0.05,0.8316126615311243,0.05,6.093679230844825,2.6820465902576087,2.7066079269298133,0.05000000034330218,0.05,1.3277785302825196,6.499863332178503,18.0517694222719,0.050000000465689996,7.351003715692929,2.0500000000849457,0.05,0.530225844104438
apple,0.05000000018687949,0.050000001484492594,1.0437936245151804,0.05,0.05,0.05000000326711379,0.05,1.6392048617518558,0.05,0.050000004142169846,0.9052193193503132,0.05,1.2819379254236871,0.050000000070865365,4.542972633826181,0.05000000038343539,0.05000000380129114,0.05000000017215842,0.05,4.886871621579783
appointment,0.05,0.050000000975238365,0.05,0.05,0.05,0.05,0.05,9.728310653125087,0.05,0.05000000059762027,0.20795307854883138,0.05,0.11220089091662286,0.05,6.1515353757625295,0.05,0.05,0.05,0.05,0.050000000042339704
apprehension,0.05,0.050000000123031026,0.05,0.05,0.05,0.050000000596310615,0.05,0.05000000012285674,0.05000000048047325,0.05,0.05000000596630095,0.05,4.3704266682047885,0.05,3.7295733232255177,0.050000000506850786,0.05,0.0500000000213795,0.05,0.0500000007318522
approach,0.050000000157525544,1.0510021693018932,0.05,0.05,0.05,0.05,0.05,0.05000000057629135,0.05,0.05000000042976987,0.05000000004372818,0.05,1.153072626927194,0.05,5.05494073322365,0.050000000173037816,0.050000000322254,0.05,0.05,3.940984468817567
approval,0.0500000000090983,1.045266239973577,0.05000000045530243,0.05,0.05,0.05,0.05,0.9357814232503215,0.05,0.2504255142309893,3.0499999972798455,0.05,2.898951196541105,2.043146539027323,4.526301022984716,0.050000002751686576,0.05,0.050000000296064294,0.05,0.6501280631602971
apron,0.05,0.05,0.05,0.05,0.05,0.05,0.05,3.021738394220231,0.05,0.05000000185246401,0.05,0.05,0.050000000437318136,0.05,4.467099283400423,0.05,0.05,0.05,0.05,2.6611623200616554
archway,0.05000000109172759,1.668492905244562,0.05,0.05,0.05,10.327425223814425,0.05,5.41834685677532,0.050001569212504725,0.05,0.05000000000379604,0.05,3.6669067227926244,0.05,0.05000000104165437,0.05000000031370463,0.05,4.365438211726267,0.050000002132414276,2.853388505826579
area,0.050000000175314675,1.5293300271524155,0.05,0.05,0.05,0.050000000280801385,0.05,6.562994506532621,0.05,0.05000000013294919,1.0790573116108013,0.05,2.2779576524696292,2.269325098984749,1.812812822712137,0.997924820925018,3.344710433290553,0.050000000126070795,0.9991777076668861,5.626709617904625
aren,2.0603368850032227,3.3585586780019265,0.05000000014035645,0.05,2.770557100797466,0.05,0.05,1.5786168088774444,0.05000000004940386,0.05000000068281667,3.0563561840664426,0.05,0.05000000050248188,1.0562736971474027,16.307587632032664,0.050000000884843236,0.6583085225257973,0.05000034829366906,0.05000000001464006,2.603404140944503
argument,0.050000048230289425,1.445302964840086,2.390636466504002,0.05,0.05,0.05,0.05,12.461309223476311,0.05,0.050000001127508256,2.8472177252411077,0.05,0.05486923440343195,0.0500000000738007,15.615576774730515,0.05,0.0500000001572621,0.05,0.05,1.535087561182104
arguments,0.05000000264807716,0.05,0.050000000867850766,0.05,0.05,0.05,0.05,4.049999996015622,0.05,0.05000000017242014,0.05,0.05,0.05,1.0499999998550382,1.0499999999528453,0.05,0.05,0.07228116263006759,1.027718837367637,0.050000000461762506
arm,1.6567821765718067,28.161614136236263,3.7121774338114846,3.004304534982398,5.280958531558727,15.55893329755975,0.05,48.640157540611604,4.958301742876371,22.143067643050532,22.839277709980497,0.05,27.329220688641847,6.066015791250911,59.782036508911915,1.0505668210935488,9.087736577216734,15.661142418715237,1.4445210688418493,77.52318537805232
arm arm,0.05000000094083703,0.05,0.0500000002869328,0.05,0.05,0.0500000001307635,0.05,1.9289929969550672,0.050000000207262585,0.05000000209772544,0.05,0.05,3.1445809231038746,0.05,3.1369875746426668,0.05,0.05000000167595995,0.050000000323889286,0.05,1.9894384996011223
arm shoulders,0.05000000013395415,0.05,0.05,0.05,0.050000000779140255,0.05,0.05,5.093802375487387,0.05,0.05000000086289893,0.05012321161675076,0.05,2.8478254781565147,0.05,0.05000000080791921,0.05,0.05000000180326062,2.005687430485046,0.05,0.25256149983819903
armchair,2.0500000001212335,3.196912194534602,1.16437730185323,0.05,0.05,0.9843951494935981,0.05,18.53976289721449,0.05,0.0500000001478916,10.230921671218933,0.05,7.8103351076768135,1.054232416420483,12.446674935091087,0.05000000013106338,0.13744174659325284,1.416455223830361,1.0500000000551226,6.568491355579843
armchairs,0.05,5.39675369348053,0.05,0.05,0.05000000031359967,0.05,0.05,5.34815582475399,0.05,0.05000000003528205,0.056501537539458954,0.05,0.05000000305148184,1.942996321123273,3.5055926193003817,0.05,0.05000000025799701,0.05,0.05,0.05000000011345568
armor,0.05,13.292750417040342,0.05,0.05,0.05000025903050253,0.32527721135830795,0.05,6.704672137477112,0.05000000042475812,0.05000000040302151,2.203431942950184,0.05,2.9506240375275743,0.050000000195583254,13.284484047825137,0.5512989991126421,0.050000000139054986,0.050001611426011734,0.05,7.087459335057565
